Date,Open,High,Low,Close,Volume
01/06/2000,19.45,19.45,19,19.06,13213
02/06/2000,18.95,19,18.25,18.25,2846
05/06/2000,18.5,19,18.5,18.6,4650
06/06/2000,18.427,18.427,18.01,18.15,66360
07/06/2000,18.01,18.15,18,18.15,79262
08/06/2000,18.05,18.15,18.05,18.06,69350
09/06/2000,18.014,18.35,18,18.1,18600
13/06/2000,18.1,18.2,18.1,18.1,20558
14/06/2000,18.15,18.2,18.15,18.15,51100
15/06/2000,18.2,18.2,18.09,18.1,53085
16/06/2000,18.1,18.25,18.1,18.232,51610
19/06/2000,18.246,18.25,18.11,18.18,92050
20/06/2000,18.2,18.3,18.09,18.1,44122
21/06/2000,18.1,18.25,18.1,18.25,55265
22/06/2000,18.25,18.28,18.25,18.25,2788
23/06/2000,18.5,18.5,18.25,18.25,3885
26/06/2000,18.25,18.5,18.2,18.2,3611
27/06/2000,18.5,18.6,18.5,18.6,11834
28/06/2000,18.609,18.7,18.6,18.65,14563
29/06/2000,18.55,19.1,18.55,19.1,24592
30/06/2000,18.7,19.1,18.7,19,69297
03/07/2000,19.15,19.15,18.97,19,40185
04/07/2000,18.71,18.9,18.7,18.9,2400
05/07/2000,18.7,18.75,18.7,18.75,6375
06/07/2000,18.8,19,18.7,19,24435
07/07/2000,19,19.2,19,19.2,8307
10/07/2000,19.2,19.35,19.2,19.25,10287
11/07/2000,19.301,19.301,19.2,19.29,13285
12/07/2000,19.35,19.38,19.32,19.38,45053
13/07/2000,19.38,19.38,19.3,19.3,8037
14/07/2000,19.38,19.38,19.3,19.35,214468
17/07/2000,19.38,19.42,19.26,19.26,20450
18/07/2000,19.37,19.4,19.32,19.32,6030
19/07/2000,19.306,19.306,19.13,19.18,35856
20/07/2000,19.15,19.15,19.05,19.15,17186
21/07/2000,19.1,19.15,19,19.1,91810
24/07/2000,19.2,19.2,19,19,4854
25/07/2000,18.974,18.974,18.6,18.81,11492
26/07/2000,18.85,18.85,18.8,18.85,14444
27/07/2000,18.85,18.95,18.85,18.85,13095
28/07/2000,18.905,19,18.85,19,56352
31/07/2000,19.1,19.2,19.1,19.15,9700
01/08/2000,19.245,19.4,19.245,19.32,7932
02/08/2000,19.44,20,19.4,19.95,43519
03/08/2000,20,20.2,20,20.1,30485
04/08/2000,20.2,21.5,20,21,104312
07/08/2000,21,21.6,21,21.44,41633
08/08/2000,21.45,21.45,20.73,20.99,17598
09/08/2000,21,21.3,20.9,21.25,16987
10/08/2000,21.25,21.5,21.15,21.4,25811
11/08/2000,21.45,21.49,21.35,21.45,105881
14/08/2000,21.5,21.95,21.5,21.95,11020
15/08/2000,22,22,21.6,22,8464
16/08/2000,22,22,21.75,21.75,6500
17/08/2000,22,22,21.9,21.95,14187
18/08/2000,22,22.65,22,22.5,14824
21/08/2000,22.5,22.98,22.5,22.75,19047
22/08/2000,22.98,23.91,22.98,23.492,21577
23/08/2000,23.562,23.562,23.2,23.28,17737
24/08/2000,23.402,23.402,22.95,22.95,20824
25/08/2000,22.993,22.993,22.75,22.75,12887
28/08/2000,22.957,22.957,22.81,22.89,14930
29/08/2000,22.8,22.8,22.71,22.71,10056
30/08/2000,22.705,22.75,22.55,22.55,104400
31/08/2000,22.55,22.6,22.5,22.5,18242
